Razão Social;Nome Fantasia;CNPJ;Porte;Data de Inicio da Operação;Situação;Atividade;CEP;UF;Localidade;Bairro;Logradouro;Complemento;Telefone;Email Institucional;Email Comercial;Site;Data de Geração do Certificado;Data de Validade do Certificado;Código do Certificado;CNAE;Natureza Jurídica;Tipo de Veículo;Veículos Aquáticos;Veículos Terrestre;Línguas;Quantidade de Veículos;Trimestre
FERNANDA GONCALVES DE MENEZES TRANSPORTES;FZK TRANSPORTES;32.130.340/0001-23;EMPRESA DE PEQUENO PORTE;28/11/2018;Em Operação;Locadora de Veículos para Turistas;35681-229;MG;Itaúna;Conjunto Habitacional Jadir Marinho;José Eustáquio da Silva Nº 15; - ;(37)9991-3040;FZKTRANSPORTES@YAHOO.COM;FZKTRANSPORTES@YAHOO.COM; - ;19/08/2019 10:20:53;19/08/2021 10:20:53;32.130.340/0001-23;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
BUMERANGUE PRODUCOES E EVENTOS EIRELI;Bumerangue Produções e Eventos Eireli;32.136.667/0001-02;MICROEMPRESA;29/11/2018;Em Operação;Locadora de Veículos para Turistas;28030-295;RJ;Campos dos Goytacazes;Parque São Caetano;Gumercindo de Freitas; - ;(22)9832-9026;BUMERANGUEPRODUCOESEEVENTOS@GMAIL.COM;BUMERANGUEPRODUCOESEEVENTOS@GMAIL.COM; - ;13/08/2019 10:07:28;13/08/2021 10:07:28;32.136.667/0001-02;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
DAMASCENO & FONTES LTDA;VF SERVICOS, LOCACOES E CONSTRUCOES;32.147.168/0001-10;MICROEMPRESA;30/11/2018;Em Operação;Locadora de Veículos para Turistas;64600-012;PI;Picos;Centro;São Francisco; - ;(89)9940-1717;VFSERV.PICOS@GMAIL.COM;VFSERV.PICOS@GMAIL.COM; - ;03/12/2019 07:05:58;03/12/2021 07:05:58;32.147.168/0001-10;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
EUDES ELIAS ALVES FURTADO 00372067700;GOLDEN & SILVER TRANSPORTE & TURISMO;32.152.830/0001-20;MICROEMPRESA;01/12/2018;Em Operação;Locadora de Veículos para Turistas;29042-720;ES;Vitória;Santos Dumont;José Francisco Bertholdo; - ;(27)9936-2463;eudeselias@hotmail.com;eudeselias@hotmail.com; - ;17/12/2018 14:50:15;17/12/2020 14:50:15;32.152.830/0001-20;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
WINDERSON JUNIO RAMOS DOS SANTOS;DECA LOCADORA;32.164.938/0001-33;MICROEMPRESA;03/12/2018;Em Operação;Locadora de Veículos para Turistas;39470-000;MG;Itacarambi; - ;RUA DOM JOAO BATISTA, 237 SAO JOSE;;(38)3613-1721;WILIUOLIVEIRA@IG.COM.BR;WILIUOLIVEIRA@IG.COM.BR; - ;26/02/2019 09:02:56;26/02/2021 09:02:56;32.164.938/0001-33;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
COOPERATIVA DE QUADRICICLOS DE JERICOACOARA;COOPQUADRIJERI;32.196.326/0001-22;DEMAIS;06/12/2018;Em Operação;Locadora de Veículos para Turistas;62598-000;CE;Jijoca de Jericoacoara; - ;Rua Manoel Vicente;;(88)9918-6008;COOPQUADRIJERI@GMAIL.COM;COOPQUADRIJERI@GMAIL.COM; - ;11/05/2019 01:05:21;11/05/2021 01:05:21;32.196.326/0001-22;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Cooperativa; - ; - ; - ; - ;0;2020T01
COOPERATIVA DE TURISMO DE JERICOACOARA 4X4;COOPTURJERI 4X4;32.198.697/0001-43;DEMAIS;06/12/2018;Em Operação;Locadora de Veículos para Turistas;62598-000;CE;Jijoca de Jericoacoara; - ;Rua Raimundo Esmerino;;(88)9959-3347;COOPTURJERI4X4@GMAIL.COM;COOPTURJERI4X4@GMAIL.COM; - ;12/12/2018 17:52:49;12/12/2020 17:52:49;32.198.697/0001-43;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Cooperativa; - ; - ; - ; - ;0;2020T01
ERLLEM GLEYDE ROBERTA DE MACEDO;LOCADORA SAO PAULO;32.286.423/0001-06;MICROEMPRESA;19/12/2018;Em Operação;Locadora de Veículos para Turistas;57800-000;AL;União dos Palmares; - ;Praça de Alimentação ;Centro ;(82)9343-0412;joserobertto592@gmail.com;joserobertto592@gmail.com; - ;22/01/2020 14:09:51;22/01/2022 14:09:51;32.286.423/0001-06;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
AMORIM SERVICOS & TRANSPORTES EIRELI;AMORIM SERVICOS & TRANSPORTES;32.370.927/0001-00;EMPRESA DE PEQUENO PORTE;07/01/2019;Em Operação;Locadora de Veículos para Turistas;57060-550;AL;Maceió;Tabuleiro do Martins;Oito de Abril; - ;(82)3353-9335;amorimservicostransportes@yahoo.com;amorimservicostransportes@yahoo.com; - ;22/01/2019 12:17:10;22/01/2021 12:17:10;32.370.927/0001-00;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
TRANSOCEAN 2018 SERVICOS MARITIMOS EIRELI;TRANSOCEAN;32.371.896/0001-01;EMPRESA DE PEQUENO PORTE;07/01/2019;Em Implantação;Locadora de Veículos para Turistas;23906-510;RJ;Angra dos Reis;Parque das Palmeiras;José Elias Rabha; - ;(21)7011-6867;rafaelf.contabil@gmail.com;rafaelf.contabil@gmail.com; - ;28/01/2019 08:45:50;28/01/2021 08:45:50;32.371.896/0001-01;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
VALDEVINO FRANCISCO DA SILVA;BELA MORENA LOCADORA;32.450.262/0001-44;MICROEMPRESA;15/01/2019;Em Operação;Locadora de Veículos para Turistas;79117-311;MS;Campo Grande;Vila Nasser;Colombo; - ;(67)3305-4546;VALDEVINOFRACISCO70@GMAIL.COM;VALDEVINOFRACISCO70@GMAIL.COM; - ;03/04/2019 10:34:03;03/04/2021 10:34:03;32.450.262/0001-44;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
TRANSPORTADORA MARIA JOSE GOMES EIRELI;PARAISO;32.476.959/0001-94;MICROEMPRESA;17/01/2019;Em Operação;Locadora de Veículos para Turistas;79750-000;MS;Nova Andradina; - ;bairro residencial sinhá estela;;(67)3441-4342;expressoparaisobus@hotmail.com;expressoparaisobus@hotmail.com; - ;22/03/2019 09:52:18;22/03/2021 09:52:18;32.476.959/0001-94;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
KADU LOCACAO DE VEICULOS E TRANSPORTE EXECUTIVO EIRELI;KADU TURISMO;32.574.013/0001-60;MICROEMPRESA;28/01/2019;Em Operação;Locadora de Veículos para Turistas;03474-060;SP;São Paulo;Vila Antonieta;Petrobrás; - ;(11)2592-9489;CONTATO@CONTSEG.COM.BR;CONTATO@CONTSEG.COM.BR; - ;20/05/2019 12:48:56;20/05/2021 12:48:56;32.574.013/0001-60;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
LOCADORA DE VEICULOS MONTREAL EIRELI;LOCADORA DE VEICULOS MONTREAL;32.576.090/0001-50;MICROEMPRESA;28/01/2019;Em Operação;Locadora de Veículos para Turistas;78655-000;MT;Porto Alegre do Norte; - ;avenida Beto Marcos;anexo ao hotel regional;(66)3569-1398;MIQUEIAS.EXATTAMT@HOTMAIL.COM;locadoradeveiculosmontreal@gmail.com; - ;04/04/2019 10:59:40;04/04/2021 10:59:40;32.576.090/0001-50;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ;Português;0;2020T01
C G DE CAMARGO ALEM TRANSPORTES EIRELI;A & C TRANSPORTES;32.579.762/0001-80;MICROEMPRESA;28/01/2019;Em Operação;Locadora de Veículos para Turistas;14940-468;SP;Ibitinga;Jardim Centenário;João Soares Arantes; - ;(16)3342-5753;ESCRITORIOSCALLA@BOL.COM.BR;ESCRITORIOSCALLA@BOL.COM.BR; - ;18/12/2019 13:33:30;18/12/2021 13:33:30;32.579.762/0001-80;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
JAPARATOUR LTDA;JAPARATOUR;32.652.829/0001-65;MICROEMPRESA;04/02/2019;Em Operação;Locadora de Veículos para Turistas;57950-000;AL;Japaratinga; - ;RUA MARIA DAS MERCÊS;;(82)3297-1473;COMERCIAL@GRUPOPROSPAR.COM.BR;ivanildobfeitosa@hotmail.com; - ;13/02/2019 16:10:19;13/02/2021 16:10:19;32.652.829/0001-65;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês|Italiano|Português;0;2020T01
YURI TRANSPORTES E LOCADORA DE VEICULOS LTDA;YURITUR;32.679.711/0001-20;MICROEMPRESA;06/02/2019;Em Operação;Locadora de Veículos para Turistas;08270-540;SP;São Paulo;Vila Carmosina;Geraldo Silvani; - ;(11)2524-6606;FERNANDOGRAU21@HOTMAIL.COM;FERNANDOGRAU21@HOTMAIL.COM; - ;14/08/2019 14:38:52;14/08/2021 14:38:52;32.679.711/0001-20;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
R. SANTIN;TRUCK TOUR PRUDENTÓPOLIS;32.679.823/0002-62;MICROEMPRESA;17/12/2019;Em Operação;Locadora de Veículos para Turistas;84400-000;PR;Prudentópolis; - ;BR 373;S/N;(42)9917-4180;santin@gsk.cnt.br;santin@gsk.cnt.br;https://www.facebook.com/trucktourprudentopolis;06/01/2020 09:08:04;06/01/2022 09:08:04;32.679.823/0002-62;9329-8/99 - OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE ;Empresário (Individual); - ; - ; - ; - ;0;2020T01
C F R TURISMO E FRETAMENTO EIRELI;C F R TURISMO E FRETAMENTO EIRELI;32.692.458/0001-45;MICROEMPRESA;07/02/2019;Em Operação;Locadora de Veículos para Turistas;25931-638;RJ;Magé;Cidade Horácio (Vila Inhomirim);Paraíso; - ;(21)2659-1974;cfrturismoefretamento@gmail.com;cfrturismoefretamento@gmail.com; - ;14/05/2019 16:43:14;14/05/2021 16:43:14;32.692.458/0001-45;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
MANUEL DO S L FERREIRA EIRELI;M A TRANSPORTES;32.740.462/0001-31;MICROEMPRESA;12/02/2019;Em Operação;Locadora de Veículos para Turistas;68447-000;PA;Vila dos Cabanos; - ;Travessa Padre Raimundo A Fernandes;Quadra 204 Lote 05;(91)9104-3386;CONTADORA@GARCONTABILIDADE.COM.BR;CONTADORA@GARCONTABILIDADE.COM.BR; - ;26/02/2020 15:45:48;26/02/2022 15:45:48;32.740.462/0001-31;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
LOCADORA LOCAFACIL LTDA;LOCADORA NORONHA;32.779.680/0001-80;MICROEMPRESA;15/02/2019;Em Operação;Locadora de Veículos para Turistas;53990-000;PE;Fernando de Noronha; - ;R CONSOLAÇÃO 19;;(81)1111-1111;mauriciolunajr@hotmail.com;mauriciolunajr@hotmail.com; - ;09/07/2019 09:51:35;09/07/2021 09:51:35;32.779.680/0001-80;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
VITORIA FORNAZIERI SANTOS;MM TURISMO;32.781.052/0001-39;MICROEMPRESA;15/02/2019;Em Operação;Locadora de Veículos para Turistas;17602-070;SP;Tupã;Parque Dom Bosco;Dom Bosco;- de 1/2 ao fim;(14)3496-1887;PIRAMIDECONTABILIDADETUPA@HOTMAIL.COM;PIRAMIDECONTABILIDADETUPA@HOTMAIL.COM; - ;16/05/2019 13:26:18;16/05/2021 13:26:18;32.781.052/0001-39;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ;Português;0;2020T01
SABIM TUR TRANSPORTES EIRELI;STOP T.T TRANSPORTE E TURISMO;32.800.969/0001-33;MICROEMPRESA;18/02/2019;Em Implantação;Locadora de Veículos para Turistas;83601-120;PR;Campo Largo;Centro;Domingos Cordeiro;2092;(41)9881-4334;sabimturstoptt@gmail.com;sabimturstoptt@gmail.com; - ;13/03/2019 10:38:03;13/03/2021 10:38:03;32.800.969/0001-33;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
VERTEX LOCADORA DE VEICULOS NACIONAL E IMPORTADOS LTDA;VERTEX LOCADORA DE VEICULOS;32.842.443/0001-16;MICROEMPRESA;21/02/2019;Em Operação;Locadora de Veículos para Turistas;72010-901;DF;Brasília;Taguatinga Centro (Taguatinga);C 12;;(61)3049-0404;marcosataides@gmail.com;marcosataides@gmail.com; - ;28/02/2019 18:01:23;28/02/2021 18:01:23;32.842.443/0001-16;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
GOULART TRANSPORTE DE PASSAGEIROS EIRELI;TRANSPORTE GOULART;32.889.547/0001-86;MICROEMPRESA;26/02/2019;Em Operação;Locadora de Veículos para Turistas;37530-000;MG;Brazópolis; - ;AV JARBAS GUIMARES NETTO  378 VARGEM GRANDE  BRASOPOLIS ;CASA ;(35)9972-4268;patfonsecacosta@gmail.com;PATFONSECACOSTA@GMAIL.COM; - ;18/03/2019 09:31:38;18/03/2021 09:31:38;32.889.547/0001-86;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
V & C TRANSPORTE E TURISMO EIRELI;V & C TOUR;32.916.985/0001-96;MICROEMPRESA;28/02/2019;Em Operação;Locadora de Veículos para Turistas;24436-225;RJ;São Gonçalo;Porto da Pedra;Avenida Governador Macedo Soares N 60;APTO. 107;(21)9648-6321;VECTOUR@VECTOUR.COM.BR;vectour@vectour.com.br;www.vectour.com.br;07/03/2019 14:20:24;07/03/2021 14:20:24;32.916.985/0001-96;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ;Inglês;0;2020T01
L.F.A. TRANSPORTES EIRELI;LUIS AHLERT;32.934.095/0001-07;MICROEMPRESA;01/03/2019;Em Operação;Locadora de Veículos para Turistas;95890-000;RS;Teutônia; - ;Rua Edmundo Ruhwein;150;(51)9986-9688;luisahlerttur@yahoo.com;luisahlerttur@yahoo.com;;19/02/2020 11:09:31;19/02/2022 11:09:31;32.934.095/0001-07;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
WK LOCACAO & TRANSPORTES DE PASSAGEIROS LTDA;W K TURISMO;33.013.562/0001-29;MICROEMPRESA;13/03/2019;Em Operação;Locadora de Veículos para Turistas;47630-000;BA;Serra do Ramalho; - ;Centro;Casa;(77)3620-1569;ADEILTONBBARROS@HOTMAIL.COM;ADEILTONBBARROS@HOTMAIL.COM;Williansouzawkturismo@gmail.com;21/11/2019 14:39:02;21/11/2021 14:39:02;33.013.562/0001-29;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
L A DE BELEM ALMEIDA;BOM JARDIM ADVENTURE;33.072.905/0001-26;MICROEMPRESA;19/03/2019;Em Operação;Locadora de Veículos para Turistas;78460-000;MT;Nobres; - ;RODOVIA MT 241, KM 65;POUSADA BOM JARDIM;(65)9983-6156;P.BOMJARDIM@GMAIL.COM;P.BOMJARDIM@GMAIL.COM; - ;11/04/2019 11:41:07;11/04/2021 11:41:07;33.072.905/0001-26;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
ALISON M DA SILVA PAZ;BARBOSA EMBALAGEM;33.105.741/0001-96;EMPRESA DE PEQUENO PORTE;21/03/2019;Em Operação;Locadora de Veículos para Turistas;56306-000;PE;Petrolina;Gercino Coelho;Nilo Coelho; - ;(87)3863-0409;ALISON.MARCEL@HOTMAIL.COM;ALISON.MARCEL@HOTMAIL.COM; - ;17/10/2019 07:58:49;17/10/2021 07:58:49;33.105.741/0001-96;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
PEREIRA TRANSPORTES RODOVIARIOS - EIRELI;FSP TRANSPORTES;33.119.288/0001-77;MICROEMPRESA;22/03/2019;Em Implantação;Locadora de Veículos para Turistas;17800-000;SP;Adamantina; - ;Rua Bahia nº 400 - Jardim Brasil;Sala 01;(18)9795-0968;pereiratransportes.adamantina@gmail.com;PEREIRATRANSPORTES.ADAMANTINA@GMAIL.COM; - ;17/04/2019 10:00:20;17/04/2021 10:00:20;33.119.288/0001-77;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
PAGO TRANSPORTES RODOVIARIOS EIRELI;VITORIA TRANSPORTES;33.179.701/0001-99;MICROEMPRESA;28/03/2019;Em Operação;Locadora de Veículos para Turistas;96745-000;RS;Charqueadas;Sumidouro;av farroupilha nº 400;;(51)9932-0990;WIMAFE@HOTMAIL.COM;WIMAFE@HOTMAIL.COM; - ;23/04/2019 09:31:52;23/04/2021 09:31:52;33.179.701/0001-99;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
N&G TRANSPORTES DE LUXO BY NORBERT CITERO EIRELI;NORBERTCAR;33.312.415/0001-50;EMPRESA DE PEQUENO PORTE;10/04/2019;Em Operação;Locadora de Veículos para Turistas;05458-001;SP;São Paulo;Alto de Pinheiros;Diógenes Ribeiro de Lima;- de 671/672 a 2619/2620;(21)8869-4712;norbertcar@norbertcar.com.br;norbertcar@norbertcar.com.br; - ;27/06/2019 14:33:59;27/06/2021 14:33:59;33.312.415/0001-50;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
LAURO DANIEL MOSCIARO PEREIRA;L. D. TRANSPORTE EXECUTIVO;33.338.684/0001-95;MICROEMPRESA;12/04/2019;Em Operação;Locadora de Veículos para Turistas;79290-000;MS;Bonito; - ;Rua Nestor Fernandes ;Nº 607 - Vila Donária;(67)9917-3134;laurodaniel84@outlook.com;laurodaniel84@outlook.com; - ;07/05/2019 14:18:36;07/05/2021 14:18:36;33.338.684/0001-95;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ;Espanhol|Inglês;0;2020T01
A J RIBEIRO BRITO VIAGENS E TURISMO EIRELI;EXPRESSO PATATIVA;33.340.809/0001-11;MICROEMPRESA;12/04/2019;Em Operação;Locadora de Veículos para Turistas;64004-215;PI;Teresina;São Joaquim;São Joaquim;QD 23 casa 16;(86)9913-7357;jefersonviacao4@hotmail.com;jefersonviacao4@hotmail.com; - ;17/04/2019 08:15:21;17/04/2021 08:15:21;33.340.809/0001-11;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
SAMAR LOCADORA DE BRINQUEDOS AQUATICOS LTDA;SAMAR LOCADORA DE BRINQUEDOS AQUATICOS;33.446.531/0001-61;MICROEMPRESA;24/04/2019;Em Operação;Locadora de Veículos para Turistas;93224-300;RS;Sapucaia do Sul;Sete;Santa Cruz; - ;(51)9247-2055;MBRAGAM@HOTMAIL.COM;MBRAGAM@HOTMAIL.COM; - ;16/10/2019 11:49:52;16/10/2021 11:49:52;33.446.531/0001-61;9329-8/99 - OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE ;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
ARACAJU AUTO CENTER LTDA;ARACAJU AUTO CENTER;33.492.237/0001-96;MICROEMPRESA;30/04/2019;Em Operação;Locadora de Veículos para Turistas;49100-000;SE;São Cristóvão; - ;RUA H-1, Nº 07;CONJ ROSA MARIA;(79)9103-9608;afjrental@gmail.com;afjrental@gmail.com; - ;04/02/2020 10:29:22;04/02/2022 10:29:22;33.492.237/0001-96;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
LUCIANA LARA DA COSTA 26949263805;RALI NAS MONTANHAS;33.553.523/0001-14;MICROEMPRESA;07/05/2019;Em Operação;Locadora de Veículos para Turistas;12460-000;SP;Campos do Jordão; - ;avenida parque pedra do bau  90 alto da boa vista;;(12)9639-8004;lucianalara815@gmail.com;lucianalara815@gmail.com; - ;11/06/2019 11:58:37;11/06/2021 11:58:37;33.553.523/0001-14;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
BAHIA SHOWS LOCACOES E TRANSPORTES EIRELI;BAHIA MULTISERVICE;33.645.056/0001-52;MICROEMPRESA;16/05/2019;Em Operação;Locadora de Veículos para Turistas;46600-000;BA;Tanhaçu; - ;RUA JOANA ANGELICA, 354, BAIRRO JUREMA;A;(71)9928-6449;CONTABILIDADELEMOS@HOTMAIL.COM;CONTABILIDADELEMOS@HOTMAIL.COM; - ;22/05/2019 12:26:17;22/05/2021 12:26:17;33.645.056/0001-52;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
MCM LOCADORA DE VEICULOS EIRELI;MCM TURISMO;33.663.236/0001-67;EMPRESA DE PEQUENO PORTE;20/05/2019;Em Implantação;Locadora de Veículos para Turistas;04766-020;SP;São Paulo;Socorro;Carlos Klein; - ;(11)5399-7956;TURISMOMCM17@GMAIL.COM;TURISMOMCM17@GMAIL.COM; - ;30/05/2019 12:59:53;30/05/2021 12:59:53;33.663.236/0001-67;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
AEBM TURISMO LTDA;AEBM TURISMO;33.678.904/0001-20;MICROEMPRESA;21/05/2019;Em Operação;Locadora de Veículos para Turistas;38779-000;MG;Brasilândia de Minas; - ;Rodovia MG 181 KM 88 ;;(38)8819-6268;CONTABILIDADEISABEL@CONTABILIDADEISABEL.COM.BR;CONTABILIDADEISABEL@CONTABILIDADEISABEL.COM.BR; - ;04/02/2020 11:03:23;04/02/2022 11:03:23;33.678.904/0001-20;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
CESAR AUGUSTO STEINMETZ EIRELI;GUIA TUR;33.707.593/0001-80;MICROEMPRESA;23/05/2019;Em Operação;Locadora de Veículos para Turistas;75830-092;GO;Mineiros;Centro;Sexta Avenida;;(64)3661-2580;CEMISP@YAHOO.COM.BR;CEMISP@YAHOO.COM.BR; - ;30/05/2019 07:55:29;30/05/2021 07:55:29;33.707.593/0001-80;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
AC LOCACAO DE VEICULOS EIRELI;AC LOCACAO DE VEICULOS;33.817.884/0001-20;MICROEMPRESA;04/06/2019;Em Operação;Locadora de Veículos para Turistas;49026-130;SE;Aracaju;Grageru;Tatiana Castro; - ;(79)9192-3210;ICAROSECUNDO@GMAIL.COM;ICAROSECUNDO@GMAIL.COM; - ;30/10/2019 11:36:14;30/10/2021 11:36:14;33.817.884/0001-20;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
GR HOTEIS EIRELI;Cabanas Beach Hotel;33.864.774/0001-10;EMPRESA DE PEQUENO PORTE;07/06/2019;Em Operação;Locadora de Veículos para Turistas;59090-000;RN;Natal;Ponta Negra;Engenheiro Roberto Freire;- de 3206 a 3766 - lado par;(84)9646-4541;GESSIONECAMARA@GMAIL.COM;GESSIONECAMARA@GMAIL.COM; - ;10/09/2019 08:27:09;10/09/2021 08:27:09;33.864.774/0001-10;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ;Espanhol|Português;0;2020T01
IFLEET TERCEIRIZACAO DE FROTAS EIRELI;Ifleet;33.909.327/0001-30;MICROEMPRESA;12/06/2019;Em Operação;Locadora de Veículos para Turistas;35938-000;MG;Bela Vista de Minas; - ;Av Maria Marcelina de Jesus 232;sala 1;(31)3227-7693;PAULO@MENDESJUNIORFROTAS.COM.BR;PAULO@MENDESJUNIORFROTAS.COM.BR; - ;27/03/2020 18:19:31;27/03/2022 18:19:31;33.909.327/0001-30;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
